cohort,surface,lane,effort,treatment,case_id,design_id,repetition,pair_id,both_pass,sol_run_id,sol_success,sol_input_tokens,sol_output_tokens,sol_reasoning_tokens,sol_nonreasoning_tokens,sol_total_tokens,sol_cache_read_tokens,sol_cache_write_tokens,sol_reference_cost_usd,sol_cache_neutral_cost_usd,sol_elapsed_seconds,sol_calls,astra_run_id,astra_success,astra_input_tokens,astra_output_tokens,astra_reasoning_tokens,astra_nonreasoning_tokens,astra_total_tokens,astra_cache_read_tokens,astra_cache_write_tokens,astra_reference_cost_usd,astra_cache_neutral_cost_usd,astra_elapsed_seconds,astra_calls,input_tokens_reduction,output_tokens_reduction,reasoning_tokens_reduction,nonreasoning_tokens_reduction,total_tokens_reduction,cache_read_tokens_reduction,cache_write_tokens_reduction,reference_cost_usd_reduction,cache_neutral_cost_usd_reduction,elapsed_seconds_reduction,calls_reduction
api-v1,Responses API packet,coding,high,no-tools;8192-cap,C1,C1,1,C1-high-r1,True,C1-high-r1-sol,True,282,320,115,205,602,0,0,0.007528,0.007528,4.992113667001831,1,C1-high-r1-astra,True,282,296,83,213,578,0,0,0.007048,0.007048,6.737021000008099,1,0.0,0.07499999999999996,0.27826086956521734,-0.039024390243902474,0.039867109634551534,,,0.06376195536663132,0.06376195536663132,-0.34953277296953567,0.0
api-v1,Responses API packet,coding,high,no-tools;8192-cap,C2,C2,1,C2-high-r1,True,C2-high-r1-sol,True,290,284,79,205,574,0,0,0.00684,0.00684,4.060634459005087,1,C2-high-r1-astra,True,290,393,176,217,683,0,0,0.00902,0.00902,8.875779207999585,1,0.0,-0.3838028169014085,-1.2278481012658227,-0.05853658536585371,-0.18989547038327537,,,-0.31871345029239784,-0.31871345029239784,-1.1858109361004332,0.0
api-v1,Responses API packet,coding,high,no-tools;8192-cap,C3,C3,1,C3-high-r1,True,C3-high-r1-sol,True,325,872,431,441,1197,0,0,0.01874,0.01874,11.594467999995686,1,C3-high-r1-astra,True,325,935,506,429,1260,0,0,0.02,0.02,19.572594333003508,1,0.0,-0.07224770642201839,-0.17401392111368907,0.027210884353741527,-0.05263157894736836,,,-0.06723585912486674,-0.06723585912486674,-0.6880976628691191,0.0
api-v1,Responses API packet,coding,high,no-tools;8192-cap,C3,C3,2,C3-high-r2,True,C3-high-r2-sol,True,325,890,479,411,1215,0,0,0.0191,0.0191,12.75438541600306,1,C3-high-r2-astra,True,325,933,516,417,1258,0,0,0.01996,0.01996,18.7571343749878,1,0.0,-0.04831460674157295,-0.0772442588726514,-0.014598540145985384,-0.03539094650205765,,,-0.04502617801047126,-0.04502617801047126,-0.470641960643045,0.0
api-v1,Responses API packet,coding,medium,no-tools;8192-cap,C3,C3,1,C3-medium-r1,True,C3-medium-r1-sol,True,325,623,179,444,948,0,0,0.01376,0.01376,8.766767959008575,1,C3-medium-r1-astra,True,325,630,202,428,955,0,0,0.0139,0.0139,12.884359916992253,1,0.0,-0.011235955056179803,-0.12849162011173187,0.036036036036036,-0.007383966244725704,,,-0.01017441860465107,-0.01017441860465107,-0.46968186876128204,0.0
api-v1,Responses API packet,debugging,high,no-tools;8192-cap,D1,D1,1,D1-high-r1,True,D1-high-r1-sol,True,284,187,88,99,471,0,0,0.004876,0.004876,3.3202600840013474,1,D1-high-r1-astra,True,284,185,94,91,469,0,0,0.004836,0.004836,4.808585000006133,1,0.0,0.010695187165775444,-0.06818181818181812,0.08080808080808077,0.00424628450106157,,,0.008203445447087843,0.008203445447087843,-0.44825552166117033,0.0
api-v1,Responses API packet,debugging,high,no-tools;8192-cap,D2,D2,1,D2-high-r1,True,D2-high-r1-sol,True,369,422,167,255,791,0,0,0.009916,0.009916,5.593404750004993,1,D2-high-r1-astra,True,369,696,476,220,1065,0,0,0.015396,0.015396,14.292473083987716,1,0.0,-0.6492890995260663,-1.8502994011976046,0.13725490196078427,-0.34639696586599245,,,-0.5526421944332394,-0.5526421944332394,-1.5552366980013304,0.0
api-v1,Responses API packet,debugging,medium,no-tools;8192-cap,D2,D2,1,D2-medium-r1,True,D2-medium-r1-sol,True,369,332,86,246,701,0,0,0.008116,0.008116,4.575977000000421,1,D2-medium-r1-astra,True,369,352,135,217,721,0,0,0.008516,0.008516,8.269103166006971,1,0.0,-0.06024096385542177,-0.569767441860465,0.11788617886178865,-0.02853067047075597,,,-0.049285362247412534,-0.049285362247412534,-0.807068341035414,0.0
api-v1,Responses API packet,debugging,high,no-tools;8192-cap,D3,D3,1,D3-high-r1,False,D3-high-r1-sol,,567,1584,1034,550,2151,0,0,0.033948,0.033948,23.62305199999537,1,D3-high-r1-astra,,567,1382,728,654,1949,0,0,0.029908,0.029908,27.28124100000423,1,0.0,0.12752525252525249,0.2959381044487428,-0.1890909090909092,0.09390980939098093,,,0.11900553788146573,0.11900553788146573,-0.15485674755360046,0.0
api-v1,Responses API packet,debugging,high,no-tools;8192-cap,D3,D3,2,D3-high-r2,False,D3-high-r2-sol,,567,1354,839,515,1921,0,0,0.029348,0.029348,23.51591462500801,1,D3-high-r2-astra,,567,1672,1015,657,2239,0,0,0.035708,0.035708,32.72903870900336,1,0.0,-0.23485967503692762,-0.20977353992848635,-0.2757281553398059,-0.16553878188443516,,,-0.2167098269047294,-0.2167098269047294,-0.39178251115938534,0.0
